person_id,icpsr,cel_icpsr,congress,chamber,bioname,state_abbrev,district_code,party_code,party_switch_split,source,votes_attended,votes_eligible,attendance_rate,votes_attended_raw,votes_eligible_raw,attendance_rate_raw,votes_trimmed,denominator_corrected,chamber_rollcalls,share_of_chamber_rollcalls,n_yea,n_nay,n_present,n_paired_yea,n_paired_nay,n_announced_yea,n_announced_nay,n_notvoting,les_classic,les2,benchmark_classic,benchmark2,les_ratio_classic,les2_ratio,les_cat_classic,les2_cat,les_rank,les2_rank,les_lag,les2_lag,party_code_last,nominate_dim1,nominate_dim2,cel_name,cel_year,cel_state,cel_district,dem,year_first_elected,female,votepct,dwnom1,dwnom2,deleg_size,subchr,afam,latino,votepct_sq,power,chair,state_leg,state_leg_prof,majority,maj_leader,min_leader,meddist,majdist,freshman,seniority,party_size,cel_party_code,born,died,commem_bill,commem_aic,commem_abc,commem_pass,commem_law,sub_bill,sub_aic,sub_abc,sub_pass,sub_law,ss_bill,ss_aic,ss_abc,ss_pass,ss_law,commem_bill_v,commem_aic_v,commem_abc_v,commem_pass_v,commem_law_v,sub_bill_v,sub_aic_v,sub_abc_v,sub_pass_v,sub_law_v,ss_bill_v,ss_aic_v,ss_abc_v,ss_pass_v,ss_law_v,all_bill_v,all_pass_v,all_aic_v,all_abc_v,all_law_v,all_bill,all_pass,all_aic,all_abc,all_law,speaker,seniority_sq
A000009,14000.0,14000.0,93,House,"ABDNOR, James",SD,2.0,200.0,0.0,both,1005.0,1078.0,0.932282,1005.0,1078.0,0.932282,0.0,0.0,1078.0,1.0,704.0,301.0,0.0,0.0,5.0,1.0,0.0,67.0,0.1095702648162842,,0.2713411748409271,,0.4038099348545074,,1.0,,132.0,,,,200.0,0.241,0.129,"Abdnor, James",1973.0,SD,2.0,0.0,1972.0,0.0,55.0,0.2409999966621399,0.1289999932050705,6.0,0.0,0.0,0.0,3025.0,0.0,0.0,1.0,0.1040000021457672,0.0,0.0,0.0,0.3289999961853027,0.5910000205039978,1.0,1.0,197.0,200.0,1923.0,2012.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,22.0,0.0,0.0,0.0,0.0,0.0,
A000018,13001.0,13001.0,93,House,"ABZUG, Bella Savitzky",NY,20.0,100.0,0.0,both,1040.0,1078.0,0.96475,1040.0,1078.0,0.96475,0.0,0.0,1078.0,1.0,681.0,358.0,1.0,3.0,1.0,3.0,0.0,31.0,0.7624310851097107,,0.5108124017715454,,1.492585301399231,,2.0,,119.0,,,,100.0,-0.597,-0.802,"Abzug, Bella",1973.0,NY,20.0,1.0,1970.0,1.0,56.0,-0.597000002861023,-0.8019999861717224,39.0,0.0,0.0,0.0,3136.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5090000033378601,0.2470000088214874,0.0,2.0,248.0,100.0,1920.0,1998.0,8.0,1.0,1.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,136.0,1.0,1.0,1.0,1.0,0.0,
A000031,10700.0,10700.0,93,House,"ADAMS, Brockman (Brock)",WA,7.0,100.0,0.0,both,968.0,1078.0,0.897959,968.0,1078.0,0.897959,0.0,0.0,1078.0,1.0,669.0,299.0,0.0,4.0,2.0,1.0,1.0,102.0,1.236478447914124,,1.530341386795044,,0.8079755902290344,,2.0,,88.0,,,,100.0,-0.396,-0.127,"Adams, Brock",1973.0,WA,7.0,1.0,1964.0,0.0,85.0,-0.3959999978542328,-0.1270000040531158,7.0,1.0,0.0,0.0,7225.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3079999983310699,0.04599999636411667,0.0,5.0,248.0,100.0,1927.0,2004.0,2.0,0.0,0.0,0.0,0.0,33.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,37.0,2.0,2.0,2.0,1.0,0.0,
A000052,10500.0,10500.0,93,House,"ADDABBO, Joseph Patrick",NY,7.0,100.0,0.0,both,980.0,1078.0,0.909091,980.0,1078.0,0.909091,0.0,0.0,1078.0,1.0,687.0,293.0,0.0,8.0,2.0,2.0,0.0,86.0,0.1550522595643997,,1.584492802619934,,0.0978560820221901,,1.0,,197.0,,,,100.0,-0.402,-0.084,"Addabbo, Joseph",1973.0,NY,7.0,1.0,1960.0,0.0,75.0,-0.4020000100135803,-0.08399999886751175,39.0,1.0,0.0,0.0,5625.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3140000104904175,0.0520000085234642,0.0,7.0,248.0,100.0,1925.0,1986.0,10.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,38.0,0.0,0.0,0.0,0.0,0.0,
A000073,62.0,62.0,93,House,"ALBERT, Carl Bert",OK,3.0,100.0,0.0,both,17.0,17.0,1.0,17.0,17.0,1.0,0.0,0.0,1078.0,0.01577,6.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001033681794069707,,0.6233252882957458,,0.001658334396779537,,1.0,,247.0,,,,100.0,-0.392,0.591,"Albert, Carl",1973.0,OK,3.0,1.0,1946.0,0.0,93.0,-0.3919999897480011,0.5910000205039978,6.0,0.0,0.0,0.0,8649.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3039999902248383,0.04199998825788498,0.0,14.0,248.0,100.0,1908.0,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,
A000103,12000.0,12000.0,93,House,"ALEXANDER, William Vollie (Bill), Jr.",AR,1.0,100.0,0.0,both,893.0,1078.0,0.828386,893.0,1078.0,0.828386,0.0,0.0,1078.0,1.0,627.0,266.0,0.0,4.0,2.0,0.0,0.0,179.0,1.87505054473877,,1.476189970970154,,1.270195960998535,,2.0,,64.0,,,,100.0,-0.41,0.819,"Alexander, Bill",1973.0,AR,1.0,1.0,1968.0,0.0,100.0,-0.4099999964237213,0.8190000057220459,4.0,1.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3219999969005585,0.05999999493360519,0.0,3.0,248.0,100.0,1934.0,,0.0,0.0,0.0,0.0,0.0,51.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,53.0,2.0,3.0,3.0,1.0,0.0,
A000189,12001.0,12001.0,93,House,"ANDERSON, Glenn Malcolm",CA,35.0,100.0,0.0,both,971.0,1078.0,0.900742,971.0,1078.0,0.900742,0.0,0.0,1078.0,1.0,661.0,309.0,1.0,5.0,1.0,0.0,0.0,101.0,0.4465505182743073,,0.5378881096839905,,0.8301922082901001,,2.0,,147.0,,,,100.0,-0.269,-0.052,"Anderson, Glenn",1973.0,CA,35.0,1.0,1968.0,0.0,75.0,-0.2689999938011169,-0.05200000107288361,43.0,0.0,0.0,0.0,5625.0,0.0,0.0,1.0,0.5260000228881836,1.0,0.0,0.0,0.1809999942779541,0.08100000768899918,0.0,3.0,248.0,100.0,1913.0,1994.0,2.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,87.0,0.0,0.0,0.0,0.0,0.0,
A000195,10501.0,10501.0,93,House,"ANDERSON, John Bayard",IL,16.0,200.0,0.0,both,858.0,1078.0,0.795918,858.0,1078.0,0.795918,0.0,0.0,1078.0,1.0,585.0,273.0,0.0,6.0,1.0,0.0,0.0,213.0,0.2894308865070343,,0.4337953925132751,,0.6672059893608093,,2.0,,67.0,,,,200.0,0.183,-0.554,"Anderson, John",1973.0,IL,16.0,0.0,1960.0,0.0,72.0,0.1829999983310699,-0.5540000200271606,24.0,0.0,0.0,0.0,5184.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2709999978542328,0.5329999923706055,0.0,7.0,197.0,200.0,1922.0,,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,55.0,0.0,0.0,0.0,0.0,0.0,
A000207,14001.0,14001.0,93,House,"ANDREWS, Ike Franklin",NC,4.0,100.0,0.0,both,943.0,1078.0,0.874768,943.0,1078.0,0.874768,0.0,0.0,1078.0,1.0,662.0,280.0,1.0,6.0,4.0,0.0,0.0,125.0,0.08786295354366302,,0.4837367236614227,,0.1816338300704956,,1.0,,218.0,,,,100.0,-0.178,0.481,"Andrews, Ike",1973.0,NC,4.0,1.0,1972.0,0.0,50.0,-0.1780000030994415,0.4810000061988831,11.0,0.0,0.0,0.0,2500.0,0.0,0.0,1.0,0.1899999976158142,1.0,0.0,0.0,0.09000000357627869,0.171999990940094,1.0,1.0,248.0,100.0,1925.0,2010.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,17.0,0.0,0.0,0.0,0.0,0.0,
A000208,10569.0,10569.0,93,House,"ANDREWS, Mark",ND,1.0,200.0,0.0,both,993.0,1078.0,0.92115,993.0,1078.0,0.92115,0.0,0.0,1078.0,1.0,696.0,297.0,0.0,3.0,6.0,0.0,0.0,76.0,0.1064692214131355,,0.4067196846008301,,0.2617754340171814,,1.0,,135.0,,,,200.0,0.087,-0.024,"Andrews, Mark",1973.0,ND,1.0,0.0,1963.0,0.0,73.0,0.08699999749660492,-0.02400000020861626,1.0,0.0,0.0,0.0,5329.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1749999970197678,0.4370000064373016,0.0,6.0,197.0,200.0,1926.0,,3.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,23.0,0.0,0.0,0.0,0.0,0.0,
A000212,10703.0,10703.0,93,House,"ANNUNZIO, Frank",IL,11.0,100.0,0.0,both,1036.0,1078.0,0.961039,1036.0,1078.0,0.961039,0.0,0.0,1078.0,1.0,722.0,314.0,0.0,3.0,0.0,0.0,0.0,39.0,0.6276646256446838,,1.530341386795044,,0.4101468026638031,,1.0,,129.0,,,,100.0,-0.398,0.351,"Annunzio, Frank",1973.0,IL,11.0,1.0,1964.0,0.0,53.0,-0.3980000019073486,0.3510000109672546,24.0,1.0,0.0,0.0,2809.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3100000023841858,0.04800000041723251,0.0,5.0,248.0,100.0,1915.0,2001.0,7.0,1.0,1.0,1.0,1.0,46.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,53.0,2.0,2.0,2.0,1.0,0.0,
A000215,13002.0,13002.0,93,House,"ARCHER, William Reynolds, Jr.",TX,7.0,200.0,0.0,both,1041.0,1078.0,0.965677,1041.0,1078.0,0.965677,0.0,0.0,1078.0,1.0,617.0,422.0,2.0,0.0,1.0,0.0,0.0,36.0,0.1808943152427673,,0.2984168827533722,,0.6061798930168152,,2.0,,103.0,,,,200.0,0.496,0.2,"Archer, Bill",1973.0,TX,7.0,0.0,1970.0,0.0,82.0,0.4959999918937683,0.2000000029802322,24.0,0.0,0.0,0.0,6724.0,1.0,0.0,1.0,0.1909999996423721,0.0,0.0,0.0,0.5839999914169312,0.8460000157356262,0.0,2.0,197.0,200.0,1928.0,,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,35.0,0.0,0.0,0.0,0.0,0.0,
A000216,226.0,226.0,93,House,"ARENDS, Leslie Cornelius",IL,15.0,200.0,0.0,both,947.0,1078.0,0.878479,947.0,1078.0,0.878479,0.0,0.0,1078.0,1.0,628.0,317.0,2.0,6.0,2.0,0.0,0.0,123.0,0.015505226328969,,0.7857795357704163,,0.0197322852909565,,1.0,,193.0,,,,200.0,0.301,-0.187,"Arends, Leslie",1973.0,IL,15.0,0.0,1934.0,0.0,57.0,0.3009999990463257,-0.1870000064373016,24.0,0.0,0.0,0.0,3249.0,0.0,0.0,,,0.0,0.0,1.0,0.3889999985694885,0.6510000228881836,0.0,20.0,197.0,200.0,1895.0,1985.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,
A000219,14002.0,14002.0,93,House,"ARMSTRONG, William Lester",CO,5.0,200.0,0.0,both,986.0,1078.0,0.914657,986.0,1078.0,0.914657,0.0,0.0,1078.0,1.0,627.0,348.0,11.0,0.0,0.0,1.0,0.0,91.0,0.1370536237955093,,0.2713411748409271,,0.5050970315933228,,2.0,,126.0,,,,200.0,0.508,-0.14,"Armstrong, William",1973.0,CO,5.0,0.0,1972.0,0.0,62.0,0.5080000162124634,-0.1400000005960464,5.0,0.0,0.0,0.0,3844.0,0.0,0.0,1.0,0.2840000092983246,0.0,0.0,0.0,0.5960000157356262,0.8580000400543213,1.0,1.0,197.0,200.0,1937.0,2016.0,3.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11.0,1.0,1.0,1.0,1.0,0.0,
